ID;weibo_poiid;;dianping_id;;category;weibo_title;dianping_title;address;dianping_addr;dianping_tag;dianping_tag_2;2015 bjdw event no.;lat;lon;lat_wgs;lng_wgs;lat_BD;lng_BD;weibo count;dianping count;combined_count
111;;;17763346;;1;米念;米念设计商店&工作室;杨梅竹斜街48号;大栅栏杨梅竹斜街48号;DIY手工坊;前门;36;;;39.89423524;116.3864294;39.901961;116.399063;;7;7
112;;;6433272;;1;Ubi Gallery;;杨梅竹斜街62号;;;;38;;;39.89424372;116.38623;39.901968;116.398864;;10;10
113;;;11253076;;1;济安斋书店;济安斋咖啡书吧;杨梅竹斜街68-70号;杨梅竹斜街68-70号;咖啡厅;前门;;;;39.89419543;116.3861348;39.901919;116.398769;;38;38
114;;;18691370;;1;LI+U Workshop;;杨梅竹斜街82号;;;;;;;39.89416203;116.3859264;39.901884;116.398561;;1;1
115;;;21665778;;2;Berry Beans;Berrybeans;朱家胡同7号;朱家胡同7号;咖啡厅;前门;57;;;39.89411517;116.38578;39.901836;116.398415;;217;217
116;;;27231893;;2;生活室;生活室咖啡 Living Room Coffee;炭儿胡同23号;炭儿胡同23号;咖啡厅;前门;71;;;39.89420287;116.3836772;39.901905;116.396317;;24;24
117;;;9314910;;3;一个人的剧场魁德社;;延寿街甲7号;;;;74;;;39.89668261;116.3827929;39.904375;116.395433;;4;4
118;;;20731576;;3;小蚂蚁皮影艺术团;;西河沿大街147号;;;;75;;;39.89774036;116.3836331;39.905441;116.39627;;8;8
119;;;56777920;;2;星巴克咖啡;星巴克(大栅栏店);弓字胡同2号;大栅栏街道弓字胡同10号;咖啡厅;前门;78;;;39.89609345;116.3879887;39.903829;116.400618;;2;2
120;;;32674382;;2;乔当家脆皮火烧;;;大栅栏西街98号;小吃快餐;前门;;;;39.89303207;116.3853843;39.90075;116.398021;;21;21
121;;;14920981;;1;华润万家便利超市;;;大栅栏西街15号;超市/便利店;前门;;;;39.89422672;116.3876876;39.901961;116.400319;;7;7
122;;;21286168;;2;老北京羊蝎子;;;大栅栏西街68号;火锅;前门;;;;39.89346444;116.3858486;39.901186;116.398484;;59;59
123;;;22510934;;1;UPlant house有种房子;;;杨梅竹斜街128号;文化艺术;前门;;;;39.8935794;116.3839132;39.901284;116.396553;;10;10
124;;;2888878;;2;格格酥;;;前门大栅栏西街75号;小吃快餐;前门;;;;39.89329485;116.3854206;39.901013;116.398057;;168;168
125;;;14879472;;4;皓阳文化酒店(大栅栏西街店);;;大栅栏西街53号;三星级/舒适型;前门;;;;39.89357838;116.3862495;39.901303;116.398884;;35;35
126;;;17837011;;1;京华客栈;;;大栅栏西街46号;其他;前门;;;;39.89358112;116.3868386;39.90131;116.399472;;4;4
127;;;18555325;;4;99连锁旅馆(前门大栅栏店);;;北京市西城区大栅栏西街86号;经济型;前门;;;;39.89311253;116.385699;39.900833;116.398335;;4;4
128;;;5206443;;2;臭热闹台湾小吃;;;大栅栏西街85号;小吃快餐;前门;;;;39.893179;116.3851599;39.900895;116.397797;;13;13
129;;;21785061;;2;口留香煎饼(前门大栅栏店);;;大栅栏西街2号;小吃快餐;前门;;;;39.89411265;116.3881993;39.90185;116.40083;;66;66
130;;;4284608;;4;东升平宾馆;;;前门大栅栏西街11号;经济型;前门;;;;39.89425329;116.3877588;39.901988;116.40039;;12;12
131;;;32862989;;2;彩虹之约;;;前门大栅栏陕西巷23号;小吃快餐;虎坊桥;;;;39.89124275;116.3835023;39.898944;116.396145;;3;3
132;;;19575067;;2;京华寻骊社;;;大栅栏西街46号;西餐;前门;;;;39.89358093;116.3868657;39.90131;116.399499;;5;5
133;;;17659665;;2;爱尚草原;;;大栅栏西街74号;其他;前门;;;;39.89322126;116.3859897;39.900944;116.398625;;2;2
134;;;32572946;;1;贪嘴儿 零食忆站;;;大栅栏西街65号;超市/便利店;前门;;;;39.89329283;116.3856681;39.901013;116.398304;;5;5
135;;;3619885;;4;轻联富润饭店(前门店);;;杨梅竹斜街104号;经济型;前门;;;;39.89386361;116.3852286;39.90158;116.397865;;25;25
136;;;16825884;;2;老北京炙子烤肉(西街店);;;铁树斜街24号;烧烤;宣武门;;;;39.89227724;116.3838911;39.899982;116.396532;;9;9
137;;;21159377;;2;盛永斋茶艺馆;;;大栅栏杨梅竹斜街;茶馆;前门;;;;39.89431386;116.3860828;39.902037;116.398717;;2;2
138;;;13771513;;4;客来宾馆;;;前门大栅栏西街石头胡同85号;经济型;前门;;;;39.88988534;116.3843413;39.897595;116.396983;;1;1
139;;;3623794;;4;博盛园宾馆;;;大栅栏西街65号;经济型;前门;;;;39.8929821;116.3863993;39.900708;116.399034;;2;2
140;;;24901752;24399519;2;山东老面大枣胖馒头;;;大栅栏;小吃快餐;大红门;;;;39.89688938;116.3829164;39.904583;116.395556;;2;2
141;;;19492960;;2;优优尚品(大栅栏西街店);;;大栅栏西街1号附近;面包甜点;前门;;;;39.89438319;116.3881184;39.90212;116.400749;;1;1
142;;;2898766;;2;福乐居火锅店;;;大栅栏西街106号;火锅;宣武门;;;;39.89296973;116.3854233;39.900688;116.39806;;33;33
143;;;5401552;;2;锦州烧烤;;;大栅栏西街81号;烧烤;前门;;;;39.89315687;116.3852922;39.900874;116.397929;;2;2
144;;;20896153;;2;老郭早点;;;大栅栏石头胡同75号;小吃快餐;前门;;;;39.89044334;116.3845773;39.898155;116.397218;;1;1
145;;;11255768;;4;东方足韵;;;大栅栏西街56号;洗浴;前门;;;;39.89334301;116.3862904;39.901068;116.398925;;1;1
146;;;21070080;;2;富源春排骨米饭;;;大栅栏铁树斜街20号;东北菜;前门;;;;39.89235089;116.3841408;39.900058;116.396781;;1;1
147;;;21341798;;2;藏堡(前门店);;;大栅栏西街81号;其他;前门;;;;39.89315687;116.3852922;39.900874;116.397929;;23;23
148;;;9077520;;2;老北京小吃;;;大栅栏西街34号;小吃快餐;前门;;;;39.89499785;116.3883894;39.902736;116.401019;;110;110
149;;;24090758;;4;维斯特酒店(北京天安门大栅栏西...;;;大栅栏西街41号;三星级/舒适型;前门;;;;39.89374315;116.3865593;39.90147;116.399193;;36;36
150;;;8026976;;4;珠家聚乐宾馆;;;朱家胡同15号前门;经济型;前门;;;;39.89273543;116.3860795;39.900459;116.398715;;3;3
151;;;6039890;;1;B/C黑媚;;;前门大栅栏西街;服饰鞋包;前门;;;;39.89430864;116.387869;39.902044;116.4005;;1;1
152;;;23644588;;2;辣来缘川味馆;;;前门大栅栏陕西巷88号;川菜;虎坊桥;;;;39.88883145;116.3837721;39.896536;116.396416;;4;4
153;;;19423695;;2;北京名吃十三绝;;;大栅栏西街23号;更多生活服务;;;;;39.89406327;116.3872798;39.901795;116.399912;;4;4
154;;;5476763;;2;杨记包子铺;;;大栅栏西街;小吃快餐;前门;;;;39.89292983;116.3851707;39.900646;116.397808;;7;7
